"column1","column2","estimate","n","p.value","FDR"
"Courtship","Time.together",0.64525102889641,22,0.00118391686988306,0.0206012403351603
"Latency","Time.together",0.529229052450934,22,0.011318088524281,0.0580390215224321
"Latency","Courtship",0.357233885684301,22,0.102648821701892,0.215562525573974
"GSI.male","Time.together",0.29709122901728,22,0.17937155277762,0.289754046794617
"GSI.male","Courtship",0.454506169843562,22,0.0335801288373325,0.100740386511998
"GSI.male","Latency",0.0254093732354602,22,0.910632031407529,0.956163632977906
"GSI.female","Time.together",0.189776906748681,22,0.397608324965513,0.556651654951718
"GSI.female","Courtship",0.303193727818046,22,0.170176602973989,0.289754046794617
"GSI.female","Latency",0.459062676453981,22,0.0316258088279848,0.100740386511998
"GSI.female","GSI.male",0.0965556182947487,22,0.669050646884646,0.780559088032087
"Testosterone","Time.together",0.386331560166957,22,0.0757369247738291,0.176719491138935
"Testosterone","Courtship",0.589322142625695,22,0.00390012914005178,0.0273009039803624
"Testosterone","Latency",0.158667419536985,22,0.480647051826242,0.593740475785357
"Testosterone","GSI.male",0.516657255787691,22,0.0138188146481981,0.0580390215224321
"Testosterone","GSI.female",0.075098814229249,22,0.739773804445059,0.81764473122875
"Estradiol","Time.together",0.164360356737697,22,0.464833065520629,0.593740475785357
"Estradiol","Courtship",0.33220475993572,22,0.130915398041981,0.249929396261963
"Estradiol","Latency",0.398080180688876,22,0.0665269900417624,0.174633348859626
"Estradiol","GSI.male",0.0118577075098814,22,0.958231757850569,0.958231757850569
"Estradiol","GSI.female",0.622811970638058,22,0.00196202288906289,0.0206012403351603
"Estradiol","Testosterone",0.209486166007905,22,0.349447352439489,0.524171028659233
