"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","module","ont"
"GO:0001755","neural crest cell migration","8/345","26/6316",0.307692307692308,5.6329988851728,5.68978998294159,4.7924020963874e-05,0.00883557637536187,0.00857841899148736,"sema7a/LOC100698408/LOC102076948/LOC102077296/LOC106096445/si:dkey-49n23.1/sema6a/sox10",8,"brown","BP"
"GO:0090497","mesenchymal cell migration","8/345","26/6316",0.307692307692308,5.6329988851728,5.68978998294159,4.7924020963874e-05,0.00883557637536187,0.00857841899148736,"sema7a/LOC100698408/LOC102076948/LOC102077296/LOC106096445/si:dkey-49n23.1/sema6a/sox10",8,"brown","BP"
"GO:0065009","regulation of molecular function","26/345","207/6316",0.1256038647343,2.29946089757054,4.56915630653116,5.17854343680607e-05,0.00883557637536187,0.00857841899148736,"cdkn1bb/dab2ipb/xrcc4/ect2/LOC100706347/rrad/LOC102076948/LOC102077296/LOC106096445/scn3b/rgs6/drd2l/fxyd5/LOC100702711/cacng8a/shisa7b/usp6nl/fgfr1a/iqgap2/pcsk1nl/erbb3b/LOC100695799/tbc1d17/rangap1a/ppm1e/erbb2",26,"brown","BP"
"GO:0014032","neural crest cell development","8/345","27/6316",0.296296296296296,5.42436929683307,5.53751791110468,6.48993018127315e-05,0.00883557637536187,0.00857841899148736,"sema7a/LOC100698408/LOC102076948/LOC102077296/LOC106096445/si:dkey-49n23.1/sema6a/sox10",8,"brown","BP"
"GO:0014033","neural crest cell differentiation","8/345","27/6316",0.296296296296296,5.42436929683307,5.53751791110468,6.48993018127315e-05,0.00883557637536187,0.00857841899148736,"sema7a/LOC100698408/LOC102076948/LOC102077296/LOC106096445/si:dkey-49n23.1/sema6a/sox10",8,"brown","BP"
"GO:0048863","stem cell differentiation","8/345","27/6316",0.296296296296296,5.42436929683307,5.53751791110468,6.48993018127315e-05,0.00883557637536187,0.00857841899148736,"sema7a/LOC100698408/LOC102076948/LOC102077296/LOC106096445/si:dkey-49n23.1/sema6a/sox10",8,"brown","BP"
"GO:0048864","stem cell development","8/345","27/6316",0.296296296296296,5.42436929683307,5.53751791110468,6.48993018127315e-05,0.00883557637536187,0.00857841899148736,"sema7a/LOC100698408/LOC102076948/LOC102077296/LOC106096445/si:dkey-49n23.1/sema6a/sox10",8,"brown","BP"
"GO:0048762","mesenchymal cell differentiation","8/345","30/6316",0.266666666666667,4.88193236714976,5.12264302775189,0.00014809888947713,0.0156820268524116,0.0152256051287014,"sema7a/LOC100698408/LOC102076948/LOC102077296/LOC106096445/si:dkey-49n23.1/sema6a/sox10",8,"brown","BP"
"GO:0060485","mesenchyme development","8/345","30/6316",0.266666666666667,4.88193236714976,5.12264302775189,0.00014809888947713,0.0156820268524116,0.0152256051287014,"sema7a/LOC100698408/LOC102076948/LOC102077296/LOC106096445/si:dkey-49n23.1/sema6a/sox10",8,"brown","BP"
"GO:0030148","sphingolipid biosynthetic process","7/345","24/6316",0.291666666666667,5.33961352657005,5.11958794176739,0.000210466480320865,0.0200574555745784,0.0194736880212674,"elovl1b/ugt8/smpd4/sphk2/b4galt6/elovl8a/elovl6",7,"brown","BP"
"GO:0001667","ameboidal-type cell migration","8/345","33/6316",0.242424242424242,4.43812033377251,4.75956434365116,0.000304174385422534,0.0252644779327017,0.0245291612115147,"sema7a/LOC100698408/LOC102076948/LOC102077296/LOC106096445/si:dkey-49n23.1/sema6a/sox10",8,"brown","BP"
"GO:0050790","regulation of catalytic activity","21/345","169/6316",0.124260355029586,2.27486493439671,4.0378353980983,0.000318125640285856,0.0252644779327017,0.0245291612115147,"cdkn1bb/dab2ipb/xrcc4/ect2/LOC100706347/LOC102076948/LOC102077296/LOC106096445/rgs6/drd2l/LOC100702711/usp6nl/fgfr1a/iqgap2/pcsk1nl/erbb3b/LOC100695799/tbc1d17/rangap1a/ppm1e/erbb2",21,"brown","BP"
"GO:0051336","regulation of hydrolase activity","13/345","81/6316",0.160493827160494,2.93820003578458,4.21983594497849,0.000392227563434769,0.0287532975348719,0.0279164395351548,"dab2ipb/ect2/LOC100706347/LOC102076948/LOC102077296/LOC106096445/rgs6/usp6nl/iqgap2/pcsk1nl/LOC100695799/tbc1d17/rangap1a",13,"brown","BP"
"GO:0043087","regulation of GTPase activity","11/345","64/6316",0.171875,3.14655797101449,4.14854507770912,0.000600501704760638,0.0408770089026348,0.0396872931191429,"dab2ipb/ect2/LOC100706347/LOC102076948/LOC102077296/LOC106096445/rgs6/usp6nl/iqgap2/tbc1d17/rangap1a",11,"brown","BP"
"GO:0043547","positive regulation of GTPase activity","8/345","37/6316",0.216216216216216,3.95832354093224,4.33784449665901,0.000698290867369121,0.0443647464401848,0.0430735208714005,"ect2/LOC100706347/LOC102076948/LOC102077296/LOC106096445/rgs6/tbc1d17/rangap1a",8,"brown","BP"
"GO:0051345","positive regulation of hydrolase activity","8/345","40/6316",0.2,3.66144927536232,4.05862953043239,0.00120510790605099,0.0708431660677026,0.0687812922886293,"ect2/LOC100706347/LOC102076948/LOC102077296/LOC106096445/rgs6/tbc1d17/rangap1a",8,"brown","BP"
"GO:0000038","very long-chain fatty acid metabolic process","4/345","10/6316",0.4,7.32289855072464,4.80963279179992,0.00141240310103499,0.0708431660677026,0.0687812922886293,"elovl1b/elovl8a/elovl6/abcd3a",4,"brown","BP"
"GO:0016339","calcium-dependent cell-cell adhesion via plasma membrane cell adhesion molecules","4/345","10/6316",0.4,7.32289855072464,4.80963279179992,0.00141240310103499,0.0708431660677026,0.0687812922886293,"cdhr5a/cdh2/cdhr2/cdh19",4,"brown","BP"
"GO:0032506","cytokinetic process","4/345","10/6316",0.4,7.32289855072464,4.80963279179992,0.00141240310103499,0.0708431660677026,0.0687812922886293,"snx33/ect2/iqgap2/klhdc8b",4,"brown","BP"
"GO:0034762","regulation of transmembrane transport","8/345","42/6316",0.19047619047619,3.48709454796411,3.88702534916403,0.00168118277696317,0.0801083593222949,0.0777768242605591,"c2cd5/rrad/scn3b/drd2l/fxyd5/cacng6a/cacng8a/shisa7b",8,"brown","BP"
"GO:0071526","semaphorin-plexin signaling pathway","6/345","25/6316",0.24,4.39373913043478,4.08659225045239,0.00185709664099933,0.0842768142320171,0.0818239572650832,"sema7a/LOC102076948/LOC102077296/LOC106096445/si:dkey-49n23.1/sema6a",6,"brown","BP"
"GO:0007275","multicellular organism development","42/345","491/6316",0.0855397148676171,1.56599663508368,3.13891329754909,0.00209064034266472,0.0878695789277279,0.0853121553846279,"sema7a/xrcc4/ect2/pou3f3b/LOC100698408/dla/cdhr5a/LOC102076948/LOC102077296/LOC106096445/aplp2/si:dkey-49n23.1/ccm2/cdh2/jag2b/tbc1d23/mal2/irx2a/mpz/brinp2/sema6a/nsmfb/fgfr1a/tncb/git2a/bcas1/cntn3a.1/pacsin1a/erbb3b/gprin1/cdhr2/popdc2/cdh19/eya1/nfasca/sox10/tacc2/LOC100702708/otx2b/mapta/csf3a/erbb2",42,"brown","BP"
"GO:0044331","cell-cell adhesion mediated by cadherin","4/345","11/6316",0.363636363636364,6.65718050065876,4.51363589187643,0.00212460177074445,0.0878695789277279,0.0853121553846279,"cdhr5a/cdh2/cdhr2/cdh19",4,"brown","BP"
"GO:0022898","regulation of transmembrane transporter activity","6/345","26/6316",0.230769230769231,4.2247491638796,3.96031726855403,0.00230507814605792,0.0878695789277279,0.0853121553846279,"rrad/scn3b/drd2l/fxyd5/cacng8a/shisa7b",6,"brown","BP"
"GO:0032412","regulation of monoatomic ion transmembrane transporter activity","6/345","26/6316",0.230769230769231,4.2247491638796,3.96031726855403,0.00230507814605792,0.0878695789277279,0.0853121553846279,"rrad/scn3b/drd2l/fxyd5/cacng8a/shisa7b",6,"brown","BP"
"GO:0006665","sphingolipid metabolic process","7/345","35/6316",0.2,3.66144927536232,3.79498888479586,0.00243222708800412,0.0891504774949201,0.0865557736986081,"elovl1b/ugt8/smpd4/sphk2/b4galt6/elovl8a/elovl6",7,"brown","BP"
"GO:0032409","regulation of transporter activity","6/345","27/6316",0.222222222222222,4.0682769726248,3.84023971604307,0.00282982934865989,0.0969173004799777,0.0940965451172479,"rrad/scn3b/drd2l/fxyd5/cacng8a/shisa7b",6,"brown","BP"
"GO:0007399","nervous system development","29/345","311/6316",0.0932475884244373,1.7071065753297,3.07383997155678,0.00304444963021433,0.0969173004799777,0.0940965451172479,"sema7a/ect2/pou3f3b/LOC100698408/LOC102076948/LOC102077296/LOC106096445/aplp2/si:dkey-49n23.1/cdh2/mal2/irx2a/mpz/brinp2/sema6a/nsmfb/tncb/git2a/bcas1/cntn3a.1/pacsin1a/erbb3b/gprin1/nfasca/sox10/tacc2/LOC100702708/mapta/erbb2",29,"brown","BP"
"GO:0007043","cell-cell junction assembly","4/345","12/6316",0.333333333333333,6.1024154589372,4.25236982650024,0.00305091187240223,0.0969173004799777,0.0940965451172479,"cdhr5a/cdh2/cdhr2/cdh19",4,"brown","BP"
"GO:0034332","adherens junction organization","4/345","12/6316",0.333333333333333,6.1024154589372,4.25236982650024,0.00305091187240223,0.0969173004799777,0.0940965451172479,"cdhr5a/cdh2/cdhr2/cdh19",4,"brown","BP"
"GO:0046467","membrane lipid biosynthetic process","7/345","37/6316",0.189189189189189,3.46353309831571,3.61232412378349,0.00338996484956283,0.104214080697851,0.101180954253505,"elovl1b/ugt8/smpd4/sphk2/b4galt6/elovl8a/elovl6",7,"brown","BP"
"GO:0000902","cell morphogenesis","17/345","153/6316",0.111111111111111,2.0341384863124,3.11244024300353,0.00391547077320955,0.116607613964647,0.113213776633263,"parvb/sema7a/cdhr5a/LOC102076948/LOC102077296/LOC106096445/aplp2/si:dkey-49n23.1/cdh2/sema6a/cntn3a.1/pacsin1a/cdhr2/cdh19/nfasca/LOC100702708/palm1b",17,"brown","BP"
"GO:0050919","negative chemotaxis","5/345","21/6316",0.238095238095238,4.35886818495514,3.7057612038255,0.00464949504296907,0.134271781089379,0.130363832305257,"sema7a/LOC102076948/LOC102077296/LOC106096445/si:dkey-49n23.1",5,"brown","BP"
