gene_id,module,gene_type
CREB1,grey,IEG
socs7,grey,IEG
dusp5,turquoise,IEG
fosb,brown,IEG
fosab,turquoise,IEG
JUN,grey,IEG
rgs19,grey,IEG
egr1,grey,IEG
npas4,grey,IEG
klf8,purple,IEG
NPAS3,red,IEG
klf11,turquoise,IEG
htr2cl1,blue,Candidate
npy2rl,grey,Candidate
crhbp,yellow,Candidate
ENSONIG00000014957,grey,Candidate
gal,yellow,Candidate
gnrhr4,red,Candidate
th,red,Candidate
htr1ab,grey,Candidate
CYP19A1,grey,Candidate
saal1,grey,Candidate
nr3c2,blue,Candidate
agrp,yellow,Candidate
hsd11b2,blue,Candidate
drd2,grey,Candidate
ENSONIG00000033642,grey,Candidate
rad18,grey,Candidate
NSG1,grey,Candidate
ENSONIG00000013507,yellow,Candidate
esr1,yellow,Candidate
esr2a,yellow,Candidate
drd2l,brown,Candidate
ENSONIG00000007300,brown,Candidate
NPY,red,Candidate
npy,grey,Candidate
ENSONIG00000007597,grey,Candidate
penk,turquoise,Candidate
agrp2,grey,Candidate
glula,magenta,Candidate
ENSONIG00000011023,yellow,Candidate
nos1,grey,Candidate
htr1aa,blue,Candidate
avp,yellow,Candidate
oxt,yellow,Candidate
pdyn,yellow,Candidate
trh,yellow,Candidate
ara,yellow,Candidate
nr3c1,grey,Candidate
HTR1F,blue,Candidate
OPRK1,magenta,Candidate
drd3,turquoise,Candidate
GALR2,grey,Candidate
oprm1,magenta,Candidate
gnrh3,blue,Candidate
ENSONIG00000031778,grey,Candidate
NR3C1,yellow,Candidate
nsg2,green,Candidate
ENSONIG00000020628,grey,Candidate
DLK1,yellow,Candidate
ENSONIG00000034885,grey,Candidate
ENSONIG00000014458,yellow,Candidate
